# Format: Une ligne = une phrase OU une paire Q|R
# Exemples:
# Bonjour comment vas-tu|Je vais tres bien merci!
# La vie est belle et pleine de surprises.

# === SALUTATIONS ===
bonjour|Salut! Comment ca va aujourd hui?
salut|Hey! Content de te parler!
coucou|Coucou! Quoi de neuf?

# === AJOUTE TES DONNEES CI-DESSOUS ===

# === SALUTATIONS PLUS ===
bonsoir 1|Bonsoir! J espere que ta journee se passe bien.
bonne nuit 1|Bonne nuit! Repose-toi bien.
a bientot 1|A bientot! Reviens quand tu veux.
merci 1|Avec plaisir!
de rien 1|Pas de souci!
ca va 1|Oui ca va bien, merci!
tu es la 1|Oui, je suis la pour toi.
hello 1|Hello! Ravi de discuter avec toi.
yo 1|Yo! Comment ca se passe?
rebonjour 1|Rebonjour! Content de te revoir.
bonsoir 2|Bonsoir! J espere que ta journee se passe bien.
bonne nuit 2|Bonne nuit! Repose-toi bien.
a bientot 2|A bientot! Reviens quand tu veux.
merci 2|Avec plaisir!
de rien 2|Pas de souci!
ca va 2|Oui ca va bien, merci!
tu es la 2|Oui, je suis la pour toi.
hello 2|Hello! Ravi de discuter avec toi.
yo 2|Yo! Comment ca se passe?
rebonjour 2|Rebonjour! Content de te revoir.
bonsoir 3|Bonsoir! J espere que ta journee se passe bien.
bonne nuit 3|Bonne nuit! Repose-toi bien.
a bientot 3|A bientot! Reviens quand tu veux.
merci 3|Avec plaisir!
de rien 3|Pas de souci!
ca va 3|Oui ca va bien, merci!
tu es la 3|Oui, je suis la pour toi.
hello 3|Hello! Ravi de discuter avec toi.
yo 3|Yo! Comment ca se passe?
rebonjour 3|Rebonjour! Content de te revoir.
bonsoir 4|Bonsoir! J espere que ta journee se passe bien.
bonne nuit 4|Bonne nuit! Repose-toi bien.
a bientot 4|A bientot! Reviens quand tu veux.
merci 4|Avec plaisir!
de rien 4|Pas de souci!
ca va 4|Oui ca va bien, merci!
tu es la 4|Oui, je suis la pour toi.
hello 4|Hello! Ravi de discuter avec toi.
yo 4|Yo! Comment ca se passe?
rebonjour 4|Rebonjour! Content de te revoir.
bonsoir 5|Bonsoir! J espere que ta journee se passe bien.
bonne nuit 5|Bonne nuit! Repose-toi bien.
a bientot 5|A bientot! Reviens quand tu veux.
merci 5|Avec plaisir!
de rien 5|Pas de souci!
ca va 5|Oui ca va bien, merci!
tu es la 5|Oui, je suis la pour toi.
hello 5|Hello! Ravi de discuter avec toi.
yo 5|Yo! Comment ca se passe?
rebonjour 5|Rebonjour! Content de te revoir.
bonsoir 6|Bonsoir! J espere que ta journee se passe bien.
bonne nuit 6|Bonne nuit! Repose-toi bien.
a bientot 6|A bientot! Reviens quand tu veux.
merci 6|Avec plaisir!
de rien 6|Pas de souci!
ca va 6|Oui ca va bien, merci!
tu es la 6|Oui, je suis la pour toi.
hello 6|Hello! Ravi de discuter avec toi.
yo 6|Yo! Comment ca se passe?
rebonjour 6|Rebonjour! Content de te revoir.
bonsoir 7|Bonsoir! J espere que ta journee se passe bien.
bonne nuit 7|Bonne nuit! Repose-toi bien.
a bientot 7|A bientot! Reviens quand tu veux.
merci 7|Avec plaisir!
de rien 7|Pas de souci!
ca va 7|Oui ca va bien, merci!
tu es la 7|Oui, je suis la pour toi.
hello 7|Hello! Ravi de discuter avec toi.
yo 7|Yo! Comment ca se passe?
rebonjour 7|Rebonjour! Content de te revoir.
bonsoir 8|Bonsoir! J espere que ta journee se passe bien.
bonne nuit 8|Bonne nuit! Repose-toi bien.
a bientot 8|A bientot! Reviens quand tu veux.
merci 8|Avec plaisir!
de rien 8|Pas de souci!
ca va 8|Oui ca va bien, merci!
tu es la 8|Oui, je suis la pour toi.
hello 8|Hello! Ravi de discuter avec toi.
yo 8|Yo! Comment ca se passe?
rebonjour 8|Rebonjour! Content de te revoir.
bonsoir 9|Bonsoir! J espere que ta journee se passe bien.
bonne nuit 9|Bonne nuit! Repose-toi bien.
a bientot 9|A bientot! Reviens quand tu veux.
merci 9|Avec plaisir!
de rien 9|Pas de souci!
ca va 9|Oui ca va bien, merci!
tu es la 9|Oui, je suis la pour toi.
hello 9|Hello! Ravi de discuter avec toi.
yo 9|Yo! Comment ca se passe?
rebonjour 9|Rebonjour! Content de te revoir.
bonsoir 10|Bonsoir! J espere que ta journee se passe bien.
bonne nuit 10|Bonne nuit! Repose-toi bien.
a bientot 10|A bientot! Reviens quand tu veux.
